run_accession	experiment_accession	experiment_alias	biosample	sample_alias	library_strategy	library_source	library_layout	instrument_model	total_bases	total_spots	sra_size_bytes	md5	url
SRR18920076	SRX14998077	Folonzo46	SAMN27766079	Folonzo46	WGS	GENOMIC	PAIRED	HiSeq X Ten	11507391947	38611299	3997616094	84d59a8be15960763ec5b20fe7da4d2f	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR18920076/SRR18920076
SRR18920077	SRX14998076	Folonzo45	SAMN27766078	Folonzo45	WGS	GENOMIC	PAIRED	HiSeq X Ten	10946660092	36967998	4541595691	b22d07b02dfe82611ac194a240338b1e	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR18920077/SRR18920077
SRR18920078	SRX14998075	Folonzo44	SAMN27766077	Folonzo44	WGS	GENOMIC	PAIRED	HiSeq X Ten	11535786855	38791317	4561903764	149b68c1d9cd41321bc540b8e723f406	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR18920078/SRR18920078
SRR18920079	SRX14998074	Folonzo43	SAMN27766076	Folonzo43	WGS	GENOMIC	PAIRED	HiSeq X Ten	14109117811	47496276	5750988224	ee0b5107b75532d675e04dbaf7a4d579	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR18920079/SRR18920079
SRR18920080	SRX14998073	Folonzo42	SAMN27766075	Folonzo42	WGS	GENOMIC	PAIRED	HiSeq X Ten	11485777044	38851920	4494297151	4e3e55606bba280d8d7b2dd73ae9e399	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR18920080/SRR18920080
SRR18920081	SRX14998072	Folonzo41	SAMN27766074	Folonzo41	WGS	GENOMIC	PAIRED	HiSeq X Ten	12227876622	41349065	5158443252	51875a6817af20ba937e5a736c927187	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR18920081/SRR18920081
SRR18920082	SRX14998071	Folonzo5	SAMN27766038	Folonzo5	WGS	GENOMIC	PAIRED	HiSeq X Ten	12750581717	43015804	4258165948	f0d2405814c58cd44171a46e40f1adaa	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR18920082/SRR18920082
SRR18920083	SRX14998070	Folonzo40	SAMN27766073	Folonzo40	WGS	GENOMIC	PAIRED	HiSeq X Ten	11610250853	39117357	4651043676	c8e1980690552aa1758edd3a426aafd0	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR18920083/SRR18920083
SRR18920084	SRX14998069	Folonzo39	SAMN27766072	Folonzo39	WGS	GENOMIC	PAIRED	HiSeq X Ten	14218131688	48063825	5670787765	4d7441bcf8af23ee54c942cbb523f65b	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR18920084/SRR18920084
SRR18920085	SRX14998068	Folonzo38	SAMN27766071	Folonzo38	WGS	GENOMIC	PAIRED	HiSeq X Ten	10431638566	36205006	4168578862	2cf24651ab49e9029f2b35a647abef7e	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR18920085/SRR18920085
